,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
12500,12501,10/10/2021,Madhya Pradesh,792614,107.0,781984.0,10523.0
12501,12502,11/10/2021,Madhya Pradesh,792621,103.0,781995.0,10523.0
12502,12503,12/10/2021,Madhya Pradesh,792635,103.0,782009.0,10523.0
12503,12504,13/10/2021,Madhya Pradesh,792647,109.0,782015.0,10523.0
12504,12505,14/10/2021,Madhya Pradesh,792657,110.0,782024.0,10523.0
12505,12506,15/10/2021,Madhya Pradesh,792669,111.0,782035.0,10523.0
12506,12507,16/10/2021,Madhya Pradesh,792675,106.0,782046.0,10523.0
12507,12508,17/10/2021,Madhya Pradesh,792679,96.0,782060.0,10523.0
12508,12509,18/10/2021,Madhya Pradesh,792684,84.0,782077.0,10523.0
12509,12510,19/10/2021,Madhya Pradesh,792690,81.0,782086.0,10523.0
12510,12511,20/10/2021,Madhya Pradesh,792700,79.0,782098.0,10523.0
12511,12512,21/10/2021,Madhya Pradesh,792709,82.0,782104.0,10523.0
12512,12513,22/10/2021,Madhya Pradesh,792721,88.0,782110.0,10523.0
12513,12514,23/10/2021,Madhya Pradesh,792729,80.0,782126.0,10523.0
12514,12515,24/10/2021,Madhya Pradesh,792740,79.0,782138.0,10523.0
12515,12516,25/10/2021,Madhya Pradesh,792749,85.0,782141.0,10523.0
12516,12517,26/10/2021,Madhya Pradesh,792757,84.0,782150.0,10523.0
12517,12518,27/10/2021,Madhya Pradesh,792784,99.0,782162.0,10523.0
12518,12519,28/10/2021,Madhya Pradesh,792804,108.0,782172.0,10524.0
12519,12520,29/10/2021,Madhya Pradesh,792823,115.0,782184.0,10524.0
12520,12521,30/10/2021,Madhya Pradesh,792832,113.0,782195.0,10524.0
12521,12522,31/10/2021,Madhya Pradesh,792838,107.0,782207.0,10524.0
12522,12523,01/11/2021,Madhya Pradesh,792854,115.0,782215.0,10524.0
12523,12524,02/11/2021,Madhya Pradesh,792862,116.0,782222.0,10524.0
12524,12525,04/11/2021,Madhya Pradesh,792878,120.0,782234.0,10524.0
12525,12526,05/11/2021,Madhya Pradesh,792888,114.0,782250.0,10524.0
12526,12527,06/11/2021,Madhya Pradesh,792894,112.0,782258.0,10524.0
12527,12528,07/11/2021,Madhya Pradesh,792901,107.0,782270.0,10524.0
12528,12529,08/11/2021,Madhya Pradesh,792907,100.0,782283.0,10524.0
12529,12530,09/11/2021,Madhya Pradesh,792910,92.0,782294.0,10524.0
12530,12531,10/11/2021,Madhya Pradesh,792919,88.0,782307.0,10524.0
12531,12532,11/11/2021,Madhya Pradesh,792924,81.0,782319.0,10524.0
12532,12533,12/11/2021,Madhya Pradesh,792936,76.0,782336.0,10524.0
12533,12534,14/11/2021,Madhya Pradesh,792956,75.0,782357.0,10524.0
12534,12535,15/11/2021,Madhya Pradesh,792969,79.0,782366.0,10524.0
12535,12536,16/11/2021,Madhya Pradesh,792977,82.0,782371.0,10524.0
12536,12537,17/11/2021,Madhya Pradesh,792981,77.0,782379.0,10525.0
12537,12538,18/11/2021,Madhya Pradesh,792986,77.0,782384.0,10525.0
12538,12539,19/11/2021,Madhya Pradesh,782390,-10525.0,782390.0,10525.0
12539,12540,20/11/2021,Madhya Pradesh,792999,78.0,782396.0,10525.0
12540,12541,22/11/2021,Madhya Pradesh,793027,85.0,782416.0,10526.0
12541,12542,23/11/2021,Madhya Pradesh,793040,91.0,782423.0,10526.0
12542,12543,24/11/2021,Madhya Pradesh,793052,90.0,782435.0,10527.0
12543,12544,25/11/2021,Madhya Pradesh,793074,104.0,782443.0,10527.0
12544,12545,26/11/2021,Madhya Pradesh,793088,102.0,782458.0,10528.0
12545,12546,27/11/2021,Madhya Pradesh,793097,103.0,782466.0,10528.0
12546,12547,28/11/2021,Madhya Pradesh,793120,112.0,782480.0,10528.0
12547,12548,29/11/2021,Madhya Pradesh,793138,122.0,782488.0,10528.0
12548,12549,30/11/2021,Madhya Pradesh,793150,126.0,782496.0,10528.0
12549,12550,01/12/2021,Madhya Pradesh,793170,119.0,782523.0,10528.0
12550,12551,02/12/2021,Madhya Pradesh,793187,124.0,782535.0,10528.0
